items,2017,2018,2019,2020,2021,2022F,2016
Balance_sheet,Đã kiểm toán,Đã kiểm toán,Đã kiểm toán,Đã kiểm toán,Đã kiểm toán,Dự báo,
Công ty Kiểm toán,Kiểm toán KPMG,,,Kiểm toán KPMG,Kiểm toán KPMG,,
Loại Ý kiến Kiểm toán,Chấp nhận toàn phần,,,Chấp nhận toàn phần,Chấp nhận toàn phần,,
(Tăng)/Giảm các khoản tiền gửi và cho vay các tổ chức tín dụng khác,-11802.549,2306.008,2189.341,4040.576,-10965.318,,-12195.279
(Tăng)/giảm các khoản về kinh doanh chứng khoán,-1619.967,-14454.777,-17562.68,10336.784,-14079.392,,-31805.807
(Tăng)/Giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,-601.696,556.371,177.671,98.312,-303.202,,-230.03
(Tăng)/Giảm các khoản cho vay khách hàng,-82626.02,-88432.298,-102840.133,-105081.37,-120961.694,,-73085.531
"(Tăng)/Giảm lãi, phí phải thu",0,0,0,0,0,,0
(Tăng)/Giảm nguồn dự phòng để bù đắp tổn thất các khoản ,-6212.835,-4083.722,-4502.397,-2805.965,-2538.37,,-7403.039
(Tăng)/Giảm khác về tài sản hoạt động,-2109.501,-2666.699,-3354.149,1613.5,-10778.219,,-203.801
Những thay đổi về công nợ hoạt động,0,0,0,0,0,,0
Tăng/(Giảm) các khoản nợ chính phủ và NHNN,117233.655,-80699.753,1680.491,-51188.811,-31708.879,,12671.86
Tăng/(Giảm) các khoản tiền gửi và vay các TCTD khác,-5296.202,9581.876,-2906.994,29966.748,6173.944,,103.024
Tăng/(Giảm) tiền gửi của khách hàng,118068.373,93409.398,126521.754,103662.698,103210.346,,89288.794
Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,0,0,52.031,-52.031,,0
"Tăng/(Giảm) vốn tài trợ, uỷ thác đầu tư của chính phủ và các TCTD khác",23.153,2.65,-5.372,-5.752,-6.972,,0
Tăng/(Giảm) phát hành giấy tờ có giá,7928.128,3246.793,-77.572,-144.015,-3853.426,,7807.306
"Tăng/(Giảm) lãi, phí phải trả",0,0,0,7396.305,0,,0
Tăng/(Giảm) khác về công nợ hoạt động,1480.116,824.98,720.675,-1866.142,1483.406,,-1231.89
